file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,class,8,10,2,8,22,1,0,24,0,0.51785713,0.71428573,1.0,8,1,2,0,6,0,8,0,0,0,7,5,0,0,7,0,7,0,4,104,12,0,6,1,0,38,12,18,7,18,1,0,0,0,89,1,19
/src/2019-01/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,class,5,8,3,5,2,1,0,6,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,2,0,0,3,0,3,0,1,12,1,0,0,0,0,3,0,3,1,3,0,0,0,0,27,1,1
/src/2019-01/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$SemesterDeserializer,innerclass,6,6,0,6,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,1,0,0,2,3,3,0,3,1,0,0,0,21,12,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,class,2,7,5,2,8,1,0,8,0,0.0,1.0,1.0,4,0,3,0,1,0,4,0,0,0,6,0,6,0,0,0,6,0,2,77,5,0,3,0,1,13,2,8,6,8,1,0,1,0,54,1,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,class,6,11,5,6,3,1,0,4,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,33,2,0,0,0,0,0,0,2,0,2,0,0,2,0,36,1,0
/src/2019-01/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,class,2,2,0,2,4,1,0,4,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,6,0,0,0,0,1,0,0,4,13,1,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json$QuestionBuilderDeserializer,innerclass,7,7,0,7,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,2,0,3,0,3,1,0,0,0,17,12,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/model/Semester.java,br.ufmg.engsoft.reprova.model.Semester$Reference,enum,1,1,0,1,5,1,0,4,0,0.25,0.0,0.0,2,1,1,0,0,1,3,0,0,0,2,1,1,0,1,0,2,0,2,14,1,1,1,0,0,0,2,3,0,3,1,0,0,0,26,1,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,class,5,7,2,5,4,1,0,7,0,0.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,2,2,0,0,2,0,1,0,2,17,0,0,2,0,0,7,0,3,1,3,1,0,0,0,37,1,3
/src/2019-01/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,class,10,14,4,10,20,1,0,35,0,0.38888887,0.93333334,1.0,6,0,5,0,1,0,6,0,0,0,3,1,0,0,3,0,3,0,3,61,6,0,10,1,0,24,0,14,7,15,2,0,0,1,86,1,8
/src/2019-01/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,innerclass,3,3,0,3,14,1,0,3,9,0.7142858,0.2857143,1.0,7,0,7,0,0,0,7,0,0,0,6,0,0,0,6,0,0,0,0,41,7,1,4,0,0,5,0,8,0,6,3,0,0,0,23,9,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/Reprova.java,br.ufmg.engsoft.reprova.Reprova,class,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,3,0,3,0,0,0,0,13,1,0
/src/2019-01/src/java/br/ufmg/engsoft/reprova/model/Semester.java,br.ufmg.engsoft.reprova.model.Semester,class,2,9,7,2,9,1,0,2,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,2,0,0,0,2,0,2,35,5,0,4,0,1,2,0,3,0,3,1,0,1,0,48,1,0
/src/2019-01/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,class,5,5,0,5,1,1,0,14,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,7,5,4,0,4,0,0,0,0,18,1,0
