file,class,method,variable,usage
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,"CoarseGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,float]",score,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/CoarseGrainedCourse.java,br.ufmg.engsoft.reprova.model.CoarseGrainedCourse,getScore/0,score,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,Mongo/1[java.lang.String],logger,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,Mongo/1[java.lang.String],db,5
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/Mongo.java,br.ufmg.engsoft.reprova.database.Mongo,getCollection/1[java.lang.String],db,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/FineGrainedCourse.java,br.ufmg.engsoft.reprova.model.FineGrainedCourse,"FineGrainedCourse/4[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Student>]",students,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/FineGrainedCourse.java,br.ufmg.engsoft.reprova.model.FineGrainedCourse,getScore/0,students,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,Reference/1[int],value,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course$Reference,fromInt/1[int],valueMap,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,"parse/2[java.lang.String,java.lang.Class<T>]",gson,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,render/1[T],gson,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/mime/json/Json.java,br.ufmg.engsoft.reprova.mime.json.Json,Json/0,gson,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/CourseDAO.java,br.ufmg.engsoft.reprova.database.CourseDAO,"CourseDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",json,5
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/CourseDAO.java,br.ufmg.engsoft.reprova.database.CourseDAO,"CourseDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",collection,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,"Student/2[java.lang.String,float]",score,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,"Student/2[java.lang.String,float]",id,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,hashCode/0,score,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,hashCode/0,id,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,equals/1[java.lang.Object],score,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Student.java,br.ufmg.engsoft.reprova.model.Student,equals/1[java.lang.Object],id,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,"routes/3[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.database.CourseDAO]",port,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,"routes/3[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.database.CourseDAO]",logger,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,parseDoc/1[br.ufmg.engsoft.reprova.database.Document],logger,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,parseDoc/1[br.ufmg.engsoft.reprova.database.Document],json,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,get/1[java.lang.String],logger,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,get/1[java.lang.String],collection,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,"list/2[java.lang.String,java.lang.Boolean]",collection,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,add/1[br.ufmg.engsoft.reprova.model.Question],logger,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,add/1[br.ufmg.engsoft.reprova.model.Question],collection,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,remove/1[java.lang.String],logger,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,remove/1[java.lang.String],collection,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,"QuestionsDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",json,5
/src/2020-02/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,"QuestionsDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",collection,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,statement/1[java.lang.String],statement,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,courses/1[java.util.List<br.ufmg.engsoft.reprova.model.Course>],courses,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,id/1[java.lang.String],id,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,isPrivate/1[boolean],isPrivate,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,description/1[java.lang.String],description,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,theme/1[java.lang.String],theme,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,courses,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,statement,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,description,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,theme,3
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,id,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,isPrivate,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,authorised/1[java.lang.String],token,2
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"Questions/2[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO]",json,5
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"Questions/2[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO]",questionsDAO,5
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,setup/0,logger,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",logger,4
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",invalid,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",json,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",questionsDAO,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",token,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/4[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,java.lang.String,boolean]",unauthorised,1
/src/2020-02/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"get/3[br.ufmg.engsoft.reprova.routes.api.Request,br.ufmg.engsoft.reprova.routes.api.Response,boolean]",logger,2
