file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/FindQuestionsCommand.java,br.ufmg.engsoft.reprova.routes.command.FindQuestionsCommand,"FindQuestionsCommand/2[br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.mime.json.Json]",true,21,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/FindQuestionsCommand.java,br.ufmg.engsoft.reprova.routes.command.FindQuestionsCommand,"get/3[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response,boolean]",false,73,5,3,1,2,2,5,8,1,1,3,5,0,0,0,0,0,0,3,1,1,0,0,0,0,0,16,4,2,true
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/FindQuestionsCommand.java,br.ufmg.engsoft.reprova.routes.command.FindQuestionsCommand,"get/4[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response,java.lang.String,boolean]",false,40,5,3,1,2,5,6,19,3,1,4,6,0,0,0,2,0,0,6,3,1,2,1,0,0,0,16,4,4,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,nullTheme/0,false,14,2,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8,0,0,true
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,nullDescription/0,false,46,2,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8,0,0,true
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,emptyTheme/0,false,30,2,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,1,8,0,0,true
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,emptyDescription/0,false,62,2,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,1,8,0,0,true
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/services/RegistryService.java,br.ufmg.engsoft.services.RegistryService,"register/3[java.lang.String,java.lang.String,br.ufmg.engsoft.models.UserType]",false,20,3,7,1,6,2,8,16,2,2,3,8,0,0,0,0,1,0,2,0,2,0,1,0,0,0,10,1,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/services/RegistryService.java,br.ufmg.engsoft.services.RegistryService,RegistryService/0,true,16,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,"routes/3[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.database.CourseDAO]",false,44,5,5,1,4,4,5,15,0,2,3,5,0,0,0,3,0,0,8,0,2,1,1,0,0,0,33,9,4,true
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,Setup/0,true,23,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,true
