file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/model/QuestionTest.java,br.ufmg.engsoft.reprova.tests.model.QuestionTest,emptyDescription/0,false,62,2,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,1,8,0,0,true
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/services/RegistryService.java,br.ufmg.engsoft.services.RegistryService,"register/3[java.lang.String,java.lang.String,br.ufmg.engsoft.models.UserType]",false,20,3,7,1,6,2,8,16,2,2,3,8,0,0,0,0,1,0,2,0,2,0,1,0,0,0,10,1,0,false
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/services/RegistryService.java,br.ufmg.engsoft.services.RegistryService,RegistryService/0,true,16,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,"routes/3[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.database.CourseDAO]",false,44,5,5,1,4,4,5,15,0,2,3,5,0,0,0,3,0,0,8,0,2,1,1,0,0,0,33,9,4,true
/src/01-command/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,Setup/0,true,23,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,true
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,testQuestionSerialization_FineGrained/0,false,68,8,15,0,15,1,15,14,0,10,0,15,0,0,0,0,0,0,9,5,10,0,0,0,0,0,33,0,0,true
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,testStudentSerialization/0,false,140,3,4,0,4,1,3,7,0,4,0,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,17,0,0,true
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,entriesToMap/0,false,26,2,0,0,0,1,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,false
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,entriesToConcurrentMap/0,false,30,2,0,0,0,1,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,0,false
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,testQuestionSerialization_CoarseGrained/0,false,38,7,14,0,14,1,14,12,0,8,0,14,0,0,0,0,0,0,7,6,8,0,0,0,0,0,30,0,0,true
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,"entry/2[K,V]",false,22,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,testCourseSerialization_FineGrained/0,false,119,7,7,0,7,1,7,11,0,7,0,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,25,0,0,true
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonTest,testCourseSerialization_CoarseGrained/0,false,100,6,6,0,6,1,6,9,0,5,0,6,0,0,0,0,0,0,1,2,5,0,0,0,0,0,22,0,0,true
/src/01-command/auth-microservice/src/main/java/br/ufmg/engsoft/AuthModuleApplication.java,br.ufmg.engsoft.AuthModuleApplication,main/1[java.lang.String[]],false,9,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
